schno,school,staff_cc_favorability,staff_participation,family_cc_favorability,family_participation,student_cc_favorability,student_participation
853,Marshall HS,73,0.753,98,0.125,61,0.692
858,Brown Jr (Willie) MS,68,0.702,94,0.203,60,0.749
859,Tenderloin Pre-K & TK & ES,64,1,79,0.677,62,0.851
862,Ulloa TK & ES,96,0.933,95,0.247,67,0.834
867,Visitacion Valley ES,79,0.759,96,0.625,53,0.815
868,Visitacion Valley MS,62,0.44,,0.04,56,0.877
872,Chin ES,100,1,99,1,76,1
876,West Portal ES,84,0.75,88,0.266,67,0.942
892,Woodside CJC,,0.667,,0,58,1
903,Argonne Pre-K & TK,94,1,96,0.704,,
910,Havard Pre-K & TK,85,0.76,97,0.587,,
915,Stockton Pre-K & TK,95,1,98,1,,
923,Theresa Mahler Pre-K,,0.6,99,1,,
928,Noriega Pre-K & TK,97,1,99,0.863,,
948,Jefferson Pre-K,,0.471,,0.273,,
950,McLaren Pre-K & TK,85,0.435,,0.333,,
955,Serra Pre-K & TK,86,0.778,100,0.609,,
965,Zaida T. Rodriguez Pre-K & TK,96,0.786,92,0.5,,
987,San Miguel Pre-K,78,1,99,0.8,,
997,Tule Elk Park Pre-K & TK,91,1,98,0.983,,
4581,C.A.R.E. Bayview,75,,93,1,,
4582,C.A.R.E. Buchanan,89,,,0,,
4583,Youth Chance High School,93,,,0.8,,1
4584,C.A.R.E. MS,,,,0,,
