SCHNO,FULLNAME,SCHNAME,ADDRESS,ZIPCODE,ZIPCODE2,City,State,PHONE,PRINCIPAL,Fax,Email,SCHLEVEL,MARKCYCLE,BEGGRADE,ENDGRADE,E,M,H,K8,CDS_COUNTY,CDS_DISTRICT,CDS_SCHOOL,SHORTNAME,NcesId,SchoolOpenClose,SchoolStartTime,SchoolEndTime,Zone,Charter
928,"Noriega EES",,"1775 44th Ave",94122,,"San Francisco",CA,4157592853,"Ng, Ivy",,,1,3,TK,PK,N,N,N,N,38,68478,0117473,,13231,Y,1,1,EE,N
022,"NPS - Sterne (CLOSED)",,"2690 Jackson St",94115,,"San Francisco",CA,4159226081,,,,5,,K,Unknown,N,N,N,N,38,10389,0000000,,,Y,1,1,,N
431,"Aptos MS",,"105 Aptos Ave",94127,,"San Francisco",CA,4154694520,"Roseboro, Dimitric",4153339038,sch431@sfusd.edu,3,4,6,8,N,Y,N,N,38,68478,6062020,,05585,Y,0,8,MS,N
058,"NPS - Anova Center For Education, San Rafael",,"0150 Lovell Av",94903,,"San Rafael",CA,7075277032,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
181,"NPS - Arbor Bay",,"1017 Cedar St",94070,3862,"San Carlos",CA,6502441519,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
435,"Argonne ES",,"680 18th Ave",94121,,"San Francisco",CA,4157508460,"Levison, Rebecca",4157508462,sch435@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6040737,,05586,Y,1,1,C2,N
569,"Peabody (George) ES",,"251 6th Ave",94118,,"San Francisco",CA,4157508480,"Vroegh, Willem",4157508487,sch569@sfusd.edu,2,3,K,5,Y,N,N,N,38,68478,6041065,,05614,Y,1,1,C3,N
992,"Tenderloin PreK",,"627 Turk St",94102,,"San Francisco",CA,4157493567,"Lister, Paul",,,1,,PK,PK,N,N,N,N,38,68478,6115901,,07732,Y,1,1,EE,N
868,"Visitacion Valley MS",,"1971 Visitacion Ave",94134,,"San Francisco",CA,4154694590,"Baker, Maya",4154694703,sch868@sfusd.edu,3,4,6,8,N,Y,N,N,38,68478,6059919,,05678,Y,0,9,MS,N
148,"NPS - Normative",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
029,"NPS - Deverex Foundation",,"7055 Seaway Dr",93117,,Goleta,CA,8059682525,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
945,"Parker (Jean) EED OST",,"840 Broadway St",94133,,"San Francisco",CA,4152917967,"Yu, Jenny",,,1,,PK,PK,N,N,N,N,38,68478,6041206,,05630,Y,1,1,EE,N
814,"SF Public Montessori ES",,"2340 Jackson St",94115,,"San Francisco",CA,4157493730,"Benitez, Monette",4157493494,https://www.sfusd.edu/school/san-francisco-public-montessori-elementary-school,2,3,K,5,Y,N,N,N,38,68478,0123117,,12788,Y,1,1,C2,N
485,"Yu (Alice Fong) K-8",,"1541 12th Ave",94122,,"San Francisco",CA,4157592764,"Szeto, Liana",4152422507,sch485@sfusd.edu,6,7,K,8,N,N,N,Y,38,68478,6113245,,05360,Y,0,7,C4,N
136,"NPS - Copper Hills Youth Center",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
785,"Wallenberg (Raoul) HS",,"40 Vega St",94115,,"San Francisco",CA,4157493469,"Harris, Tanya",4153467303,sch785@sfusd.edu,4,6,9,"5th YR Senior",N,N,Y,N,38,68478,3830205,,07845,Y,0,9,HS1,N
937,"Sheridan PreK",,"431 Capitol Ave",94112,,"San Francisco",CA,4154694743,"Edwards, Dina",,,1,,PK,PK,N,N,N,N,38,68478,3868478,,05667,Y,1,1,EE,N
180,"NPS - Center for Early Intervention on Deafness (CEID)","NPS - CEID","1035 Grayson St",94710,2642,Berkely,CA,5108484800,,5108484801,Cindy@CEID.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,"NPS - CEID",,Y,1,1,,N
714,"Marshall ES",,"1575 15th St",94103,,"san francisco",CA,4152416280,"Bratt, Nadya",4152416547,,2,3,K,5,Y,N,N,N,38,68478,6041412,,05646,Y,1,1,C1,N
930,"McCoppin (Frank) EED OST",,"651 6th Ave",94118,,"San Francisco",CA,4157508495,"Ng, Ivy",,,1,,PK,PK,N,N,N,N,38,68478,6041016,,05611,Y,1,1,EE,N
184,"PRV - Open Mind School",,"1215 O Brien Dr",94025,1412,"Menlo Park",CA,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000002,,A1900619,Y,1,1,,N
186,"NPS - Falcon Ridge Ranch",,"633 UT-9",84779,,Virgin,UT,8664528775,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
493,"SF Community K-8",,"125 Excelsior Ave",94112,,"San Francisco",CA,4154694739,"Dobrott, Heidi",4153376879,sch493@sfusd.edu,6,7,K,8,N,N,N,Y,38,68478,6093488,,05663,Y,0,8,C4,N
165,"NPS - The Help Group: North Hills Prep",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
189,"NPS - Three Points Academy",,"2994 S Gould Wash Rd",84737,,Hurricane,UT,4356350636,,,forrestluanne@gmail.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
092,"McAuley CEEP",,"2200 Hayes St",94117,,"San Francisco",CA,4157505580,"Kruger, Kelly",,,5,4,6,"5th YR Senior",N,N,N,N,38,10389,6069561,,09270,Y,0,6,,N
009,"NPS - Stanbridge Academy",,"515 E Poplar Ave",94401,,"San Mateo",CA,6503755860,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
153,"NPS - Spectrum Center, Inc: Camden Campus",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
144,"NPS - La Europa Academy",,"1121 Vine St",84121,,Murray,UT,8012689300,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
170,"NPS - The Phillips Academy (TPA)",,"1910 Central Ave",94501,,Alameda,CA,5107697100,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,09473,Y,1,1,,N
193,"NPS - Morgan Autism Center",,"950 St Elizabeth Dr",95126,3900,"San Jose",CA,4082418161,,4082418231,info@morgancenter.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
746,"Ortega (Jose) ES",,"400 Sargent St",94132,,"San Francisco",CA,4154694726,"Antram, Paula",4155847972,sch746@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041271,,05635,Y,1,1,C5,N
834,"Spring Valley Science ES",,"1451 Jackson St",94109,,"San Francisco",CA,4157493535,"Arnott, Jessica",4157493555,sch834@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041594,,05670,Y,1,1,C2,N
190,"NPS - Spectrum Center Antioch Campus",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
552,"Five Keys Adult HS Charter","Five Keys","70 Oak Grove",94107,,"San Francisco",CA,4157343310,,4157343314,steveg@5keyscharter.org,4,,9,"5th YR Senior",N,N,Y,N,38,68478,0118133,"Five Keys",12373,Y,1,6,,Y
844,"Alvarado TK (Closed)","Alvarado TK","625 Douglass St",94114,,"San Francisco",CA,4156955695,"Broecker, Robert Roy",4156955447,SCH420@SFUSD.EDU,,,,,N,N,N,N,38,68478,3868478,"Alvarado TK",05583,Y,,,,N
975,"Presidio EES",,"387 Moraga Ave",94129,,"San Francisco",CA,4155615822,"Loughridge, Danielle",,,1,,TK,PK,N,N,N,N,38,68478,0117499,,13488,Y,1,1,EE,N
828,Access,,"750 25th Ave",94121,,"San Francisco",CA,,,,,5,,K,Adult,N,N,N,N,38,10389,6069561,,09473,Y,1,1,,N
006,"NPS - Edgewood Adolescent Day  Treatment Center",,"1801 Vicente St",94116,,"San Francisco",CA,4156823175,,4156657852,gussief@edgewoodcenter.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,000879144,Y,1,1,,N
179,"NPS - Palo Alto Preparatory School","Palo Alto Prep","2462 Wyandotte St",94043,2367,"Mountain View",CA,6504937071,,,lisa@paloaltoprep.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,"Palo Alto Prep",,Y,1,1,,N
718,"McKinley ES",,"1025 14th St",94114,,"San Francisco",CA,4152416300,"Collins, John",4152416548,sch718@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041420,,05647,Y,1,1,C3,N
458,"Early Morning Study Program HS (CLOSED)",,"375 Woodside Ave",94127,,"San Francisco",CA,4157537792,,,,4,,9,12,N,N,Y,N,38,10389,0000000,,09270,Y,0,9,,N
903,"Argonne EES",,"750 16th Ave",94118,,"San Francisco",CA,4157508617,"Nwankwo, Nkechi",4157508617,,1,3,TK,PK,N,N,N,N,38,68478,3868478,,05586,Y,1,1,EE,N
681,"Life Learning HS Academy Charter",,"0651 8th Bldg 229 - T I St",94130,,"San Francisco",CA,4153978957,,4153979274,,4,,9,"5th YR Senior",N,N,Y,N,38,68478,3830429,,07721,Y,1,6,,Y
664,"Lafayette ES",,"4545 Anza St",94121,,"San Francisco",CA,4157508483,"Seaton, Sarah",4157508472,sch664@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041305,,05637,Y,1,1,C1,N
140,"NPS - Forest Heights Lodge",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
071,"NPS - Spectrum Center Tara Hills Campus",,"16330 San Pablo Av",94806,1242,"San Pablo",CA,5107244494,,5107244430,kbohrer@esa-education.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,,09473,Y,1,1,,N
927,"Taylor (Edward R) PreK",,"423 Burrows St",94134,,"San Francisco",CA,4153301530,"Norris, David",,,1,,PK,PK,N,N,N,N,38,68478,6040943,,05604,Y,1,1,EE,N
657,"KIPP San Francisco Bay MS Academy Charter",,"1430 Scott St",94115,,"San Francisco",CA,4154404306,,4154404308,ksfbainfo@kippbayarea.org,4,,5,8,N,N,Y,N,38,68478,0101352,,,Y,1,6,,Y
131,"NPS - Bayes Achievement Center, Inc.",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
048,"NPS - The Bay School",,"5400 Soquel Av Apt SteF",95062,,"Santa Cruz",CA,8314629620,,8314629616,info@thebayschool.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
656,"Serra (Junipero) ES",,"625 Holly Park Cir",94110,,"San Francisco",CA,4156955685,"Palomares, Katerina",4159205194,sch656@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041289,,05636,Y,1,1,C1,N
122,"NPS - Heartspring School",,"8700 E 29th St N",67226,,Wichita,KA,3166348700,,3166348851,carar@heartspring.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
658,"KIPP Bayview Academy MS Charter",,"1060 Key Av",94124,,"San Francisco",CA,4154672522,,4154679522,kba_info@kippbayarea.org,4,,5,8,N,N,Y,N,38,68478,0101337,,,Y,1,6,,Y
874,"Stockton (Commodore) TK (Closed)",,"949 Washington St",94108,,"San Francisco",CA,,,,,,,,,N,N,N,N,38,68478,3868478,,13621,Y,,,C1,N
196,"NPS - Triumph Academy",,"62 S 950 W",84302,,"Brigham City",UT,4355319277,,4355385063,bruce@triumphyouthservices.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
824,"Special Education Home/Hospital Sites","SP-HOME HOSPITAL","135 Van Ness Ave",94102,4152,"San Francisco",CA,4153194811,,,,5,,PK,Adult,N,N,N,N,38,10389,6069561,"SP-HOME HOSPITAL",09473,Y,1,1,,N
859,"Tenderloin Community ES",TenderloinCommunity,"627 Turk St",94102,,"San Francisco",CA,4157493567,"Lister, Paul",4157493643,SCH859@SFUSD.EDU,2,3,TK,5,Y,N,N,N,38,68478,6115901,TenderloinCommunity,07732,Y,1,1,C2,N
018,"NPS - Seneca Family of Agencies: James Baldwin Academy",SENECA,"887 Potrero Av",94110,,"San Francisco",CA,4152066469,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,SENECA,09473,Y,1,1,,N
562,"Garfield ES",,"420 Filbert St",94133,,"San Francisco",CA,4152917924,"Maruoka, Karen",4152917916,sch562@sfusd.edu,2,3,K,5,Y,N,N,N,38,68478,6041040,,05613,Y,1,1,C2,N
618,"Buena Vista Horace Mann K-8",,"3351 23rd St",94110,,"San Francisco",CA,4156955881,"DelariosMoran, Claudia",4152827869,sch618@sfusd.edu,6,7,K,8,N,N,N,Y,38,68478,6062046,,05626,Y,0,9,C4,N
162,"NPS - The Help Group: Sunrise",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
925,"Excelsior At Guadalupe EES",,"859 Prague St",94112,,"San Francisco",CA,4154694753,,,,1,,PK,PK,N,N,N,N,38,68478,6041123,,05621,Y,1,1,EE,N
815,"Asawa (Ruth) SOTA HS",,"555 Portola Dr",94131,,"San Francisco",CA,4156955700,"Purser, Kenneth",4156955326,sch815@sfusd.edu,4,6,9,"5th YR Senior",N,N,Y,N,38,68478,3830387,,01276,Y,0,10,HS1,N
890,"Redding TK (Closed)",,"1421 Pine St",94109,,"San Francisco",CA,4157493525,,4157493527,,,,,,N,N,N,N,38,68478,3868478,,05659,Y,,,,N
708,"Marina MS",,"3500 Fillmore St",94123,,"San Francisco",CA,4157493495,"GaryHarris, Michael",4159217539,sch708@sfusd.edu,3,4,6,8,N,Y,N,N,38,68478,6062061,,05645,Y,0,9,MS,N
128,"NPS - Anova Center for Education, Concord",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
710,"King Jr (Dr Martin L) MS",,"350 Girard St",94134,,"San Francisco",CA,4153301500,"Fechter, Tyson",4154687295,sch710@sfusd.edu,3,4,6,8,N,Y,N,N,38,68478,6059885,,05655,Y,0,8,MS,N
147,"NPS - New Leaf Academy",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
032,"NPS - Spectrum Center San Francisco Campus",,"95 Gough St",94114,,"San Francisco",CA,5107244494,,5107244430,kbohrer@esa-education.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
075,"NPS - Family Life Center",,"0365 Kuck Ln",94952,,Petaluma,CA,7077956954,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
301,"Special Education Services",,"750 25th Ave",94121,,"San Francisco",CA,4157592222,,,,5,,K,Unknown,N,N,N,N,38,10389,6069561,,09473,Y,1,1,,N
458,"Youth Chance High School",,"169 Steuart St",94105,,"San Francisco",CA,4156151337,"Lepe, Sylvia",,,5,6,9,"5th YR Senior",N,N,N,N,38,10389,3830445,,10647,Y,1,7,HS2,N
